代號,門市,門市地址,門市電話,廁所,ATM,停車,座位,WIFI,思樂冰,咖啡
931010,大勇,新北市三峽區文化路254號,(02)26713621,,,,,V,V,V
127701,大峽,新北市三峽區大學路13鄰147號1樓,(02)86722354,V,,,V,V,,V
912019,中園,新北市三峽區民權街231號,(02)86715491,,,,,V,,
111913,天下,新北市三峽區中正路1段110號112號1樓,(02)26713245,V,,,V,V,V,V
982029,北學一,新北市三峽區大學路151號B1(商學大樓B1),(02)86715551,,,,,,,V
126432,岩昇,新北市三峽區溪東路300號,(02)86761485,V,,,V,,V,V
905284,芳榮,新北市三峽區中正路二段536號538號,(02)26741474,V,V,,V,V,V,V
902241,金銘,新北市三峽區介壽路一段27號,(02)86741722,V,,,V,V,,V
120412,冠綸,新北市三峽區中華路59號61號1樓,(02)86721694,V,,,V,V,V,V
931582,埔大,新北市三峽區中正路2段397號,(02)86715944,,,,V,V,,V
111038,峽太,新北市三峽區大同路90號92號,(02)86711944,V,,,V,V,,V
860840,峽北,新北市三峽區大同路7號,(02)26741220,,V,,V,V,V,V
966201,峽光,新北市三峽區光明路62號1樓,(02)86716051,V,,,V,V,V,V
928542,恩主,新北市三峽區鳶山里21鄰復興路447號,(02)26721540,,V,,,V,,V
942515,御成,新北市三峽區國光街35號,(02)86710784,,V,,,,V,V
943334,園道,新北市三峽區中園街22號,(02)26748604,,V,,V,V,V,
113322,新北大,新北市三峽區大學路156號1樓,(02)26714880,V,,,V,V,,V
916217,萬誠,新北市三峽區民生街25號,(02)26748742,,,,V,V,V,V
946148,嘉添,新北市三峽區嘉添路109-2號,(02)86714891,,V,V,V,V,V,V
861131,綠洲,新北市三峽區鳶山里12鄰中山路186號1樓,(02)26717933,,V,,V,,V,V
959328,綠雅,新北市三峽區文化路122號,(02)86715490,,,,,V,,V
997881,歐洲,新北市三峽區三樹路199號,(02)26719429,,V,,V,V,,V
982007,學勤,新北市三峽區學勤路105號及大德路211號1樓,(02)86721564,,V,,V,V,V,V
113584,學德,新北市三峽區學府路100號102號106號1樓,(02)86722954,V,,,V,V,,V
997962,橫溪,新北市三峽區溪北街109號,(02)86766628,V,,,V,V,V,V
959339,豐康,新北市三峽區成福路241號,(02)26726462,V,,,V,V,V,V
